timestamp,timestamp_sample,control[0],control[1],control[2],control[3],control[4],control[5],control[6],control[7],reversible_flags
152996632,152996499,0.4880246,0.85279965,0.75376195,0.6236239,nan,nan,nan,nan,0
153097949,153097813,0.48675814,0.9393885,0.8745469,0.6004072,nan,nan,nan,nan,0
153195556,153195421,0.56804127,0.8906481,0.8020422,0.6745667,nan,nan,nan,nan,0
153298113,153297971,0.54144204,0.8748287,0.775368,0.6698787,nan,nan,nan,nan,0
153395713,153395578,0.4904882,0.88954467,0.77005625,0.61145926,nan,nan,nan,nan,0
153497029,153496892,0.51213497,0.8179609,0.70344687,0.6383533,nan,nan,nan,nan,0
153594638,153594500,0.45923936,0.8223794,0.7141259,0.5964313,nan,nan,nan,nan,0
153695950,153695814,0.43867657,0.8314492,0.70630175,0.54455143,nan,nan,nan,nan,0
153798511,153798363,0.4787598,0.79152364,0.67487735,0.5487783,nan,nan,nan,nan,0
153896105,153895971,0.4504096,0.76077783,0.7141974,0.5353952,nan,nan,nan,nan,0
153997435,153997285,0.4639469,0.77905107,0.73526376,0.49451783,nan,nan,nan,nan,0
154095032,154094892,0.49437416,0.76927155,0.7434568,0.5059026,nan,nan,nan,nan,0
154196344,154196207,0.47411254,0.7765219,0.7976664,0.5255599,nan,nan,nan,nan,0
154295185,154295050,0.5082664,0.81097245,0.82155824,0.5289895,nan,nan,nan,nan,0
154396500,154396364,0.5553902,0.8484148,0.84046394,0.5545042,nan,nan,nan,nan,0
154497811,154497678,0.52597624,0.91295755,0.88428307,0.4765803,nan,nan,nan,nan,0
154595423,154595285,0.55041337,0.8576655,0.80749136,0.50189984,nan,nan,nan,nan,0
154697975,154697835,0.5755461,0.7529499,0.7015971,0.5547902,nan,nan,nan,nan,0
154795578,154795442,0.5524574,0.70280474,0.70229465,0.5607278,nan,nan,nan,nan,0
154896894,154896756,0.5971677,0.7107572,0.7321359,0.5326997,nan,nan,nan,nan,0
154994498,154994364,0.63514006,0.7422571,0.80166024,0.51767564,nan,nan,nan,nan,0
155097048,155096913,0.62462515,0.8348136,0.8771515,0.48293823,nan,nan,nan,nan,0
155198361,155198227,0.5771342,0.9170678,0.9020187,0.48666927,nan,nan,nan,nan,0
155295971,155295835,0.4982196,0.93498766,0.89233637,0.5626374,nan,nan,nan,nan,0
155397283,155397149,0.41400415,0.923474,0.84372115,0.60989344,nan,nan,nan,nan,0
155494892,155494756,0.44045997,0.953029,0.7659525,0.67400897,nan,nan,nan,nan,0
155597447,155597306,0.45000583,0.95722926,0.65959454,0.7065949,nan,nan,nan,nan,0
155695052,155694915,0.36932647,0.9422633,0.621432,0.7455564,nan,nan,nan,nan,0
155796363,155796227,0.33809468,0.96996,0.5908937,0.7292048,nan,nan,nan,nan,0
155897696,155897542,0.3036289,0.96956515,0.61995524,0.72705495,nan,nan,nan,nan,0
155996521,155996385,0.29567662,0.9891271,0.6293807,0.7147989,nan,nan,nan,nan,0
156097837,156097699,0.31224015,0.9747169,0.6409895,0.7251841,nan,nan,nan,nan,0
156195445,156195306,0.35752255,0.98016036,0.62757623,0.6999765,nan,nan,nan,nan,0
156296759,156296620,0.36142018,0.9670135,0.6461343,0.6963518,nan,nan,nan,nan,0
156394361,156394227,0.3740483,0.95156926,0.64825356,0.69463533,nan,nan,nan,nan,0
156496919,156496777,0.39371303,0.950263,0.66006255,0.6702531,nan,nan,nan,nan,0
156598225,156598091,0.40887007,0.9351678,0.68373823,0.66295224,nan,nan,nan,nan,0
156695833,156695699,0.42875877,0.926664,0.6841707,0.6523469,nan,nan,nan,nan,0
156797148,156797013,0.43643534,0.9255762,0.6848368,0.63762623,nan,nan,nan,nan,0
156895997,156895856,0.43062595,0.89498407,0.7008297,0.6585353,nan,nan,nan,nan,0
156997304,156997170,0.10368269,0.36768186,0.2977909,0.29548618,nan,nan,nan,nan,0
157094920,157094777,0.38697302,0.59109026,0.47374707,0.5487715,nan,nan,nan,nan,0
157196225,157196091,0.45278853,0.8257015,0.6232665,0.6371319,nan,nan,nan,nan,0
157297541,157297405,0.41334805,0.9933078,0.7056227,0.7065458,nan,nan,nan,nan,0
157396386,157396248,0.2656796,1.0,0.6118301,0.68823475,nan,nan,nan,nan,0
